,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
404,2013.09.02,2013,USA,Swimming,M,17.0,N
405,2013.09.01.c,2013,USA,,M,3.0,N
406,2013.09.01.b,2013,BAHAMAS,,M,,N
407,2013.09.01.a,2013,USA,Casting a net,M,9.0,N
408,2013.08.31.b,2013,BAHAMAS,Spearfishing,M,,N
409,2013.08.31.a,2013,USA,Swimming,M,,N
410,2013.08.29,2013,USA,Marathon swimming,F,47.0,N
411,2013.08.26,2013,FRANCE,Longline fishing for sharks,M,50.0,N
412,2013.08.25.b,2013,USA,Boogie boarding,F,11.0,N
413,2013.08.25,2013,AUSTRALIA,Wrangling a shark,M,,N
414,2013.08.18,2013,USA,Surfing,M,16.0,N
415,2013.08.17,2013,USA,Surfing,F,,N
416,2013.08.14,2013,USA,Snorkeling,F,20.0,Y
417,2013.08.13,2013,USA,Kiteboarding,F,19.0,N
418,2013.08.11,2013,USA,Surfing,M,10.0,N
419,2013.08.08.R,2013,SOUTH AFRICA,Attempting to free the shark,M,,N
420,2013.08.05,2013,USA,Fishing,M,17.0,N
421,2013.07.31,2013,USA,Snorkeling,F,56.0,N
422,2013.07.30,2013,USA,Swimming,M,32.0,N
423,2013.07.29.c,2013,BAHAMAS,Spearfishing,M,40.0,N
424,2013.07.29.b,2013,MEXICO,Wading,F,,N
425,2013.07.29.a,2013,USA,Surfing,M,18.0,N
426,2013.07.28.b,2013,BAHAMAS,Cleaning fish,M,64.0,N
427,2013.07.28.a,2013,BAHAMAS,Diving,M,50.0,N
428,2013.07.22,2013,BRAZIL,Swimming,F,18.0,Y
429,2013.07.19,2013,USA,Walking in surf,F,50.0,N
430,2013.07.17.R,2013,USA,Swimming ,M,,N
431,2013.07.15,2013,REUNION,Swimming & snorkeling,F,15.0,Y
432,2013.07.14,2013,DIEGO GARCIA,Swimming,M,33.0,Y
433,2013.07.11,2013,USA,Wading,F,63.0,N
434,2013.07.09,2013,SPAIN,Swimming,M,48.0,N
